filename,original width,original height,original aspect ratio,final width,final height,scale factor,horizontal padding,vertical padding
Major_Arcana/00_The_Fool.png,176,341,0.516129,440,858,2.500000,0,6
Major_Arcana/01_The_Magician.png,176,341,0.516129,440,858,2.500000,0,6
Major_Arcana/02_The_High_Priestess.png,173,341,0.507331,440,858,2.516129,5,0
Major_Arcana/03_The_Empress.png,172,341,0.504399,440,858,2.516129,7,0
Major_Arcana/04_The_Emperor.png,173,341,0.507331,440,858,2.516129,5,0
Major_Arcana/05_The_Hierophant.png,172,341,0.504399,440,858,2.516129,7,0
Major_Arcana/06_The_Lovers.png,176,339,0.519174,440,858,2.500000,0,10
Major_Arcana/07_The_Chariot.png,176,339,0.519174,440,858,2.500000,0,10
Major_Arcana/08_Strength.png,173,339,0.510324,440,858,2.530973,2,0
Major_Arcana/09_The_Hermit.png,172,339,0.507375,440,858,2.530973,5,0
Major_Arcana/10_Wheel_of_Fortune.png,173,339,0.510324,440,858,2.530973,2,0
Major_Arcana/11_Justice.png,172,339,0.507375,440,858,2.530973,5,0
Major_Arcana/12_The_Hanged_Man.png,176,337,0.522255,440,858,2.500000,0,16
Major_Arcana/13_Death.png,176,337,0.522255,440,858,2.500000,0,16
Major_Arcana/14_Temperance.png,173,337,0.513353,440,858,2.543353,0,1
Major_Arcana/15_The_Devil.png,172,337,0.510386,440,858,2.545994,2,0
Major_Arcana/16_The_Tower.png,173,337,0.513353,440,858,2.543353,0,1
Major_Arcana/17_The_Star.png,172,337,0.510386,440,858,2.545994,2,0
Major_Arcana/18_The_Moon.png,176,324,0.543210,440,858,2.500000,0,48
Major_Arcana/19_The_Sun.png,176,324,0.543210,440,858,2.500000,0,48
Major_Arcana/20_Judgement.png,173,324,0.533951,440,858,2.543353,0,34
Major_Arcana/21_The_World.png,181,324,0.558642,440,858,2.430939,0,70
Minor_Arcana/Cups/01_Ace_of_Cups.png,222,443,0.501129,440,858,1.936795,10,0
Minor_Arcana/Cups/02_Two_of_Cups.png,220,443,0.496614,440,858,1.936795,14,0
Minor_Arcana/Cups/03_Three_of_Cups.png,220,443,0.496614,440,858,1.936795,14,0
Minor_Arcana/Cups/04_Four_of_Cups.png,220,443,0.496614,440,858,1.936795,14,0
Minor_Arcana/Cups/05_Five_of_Cups.png,219,443,0.494357,440,858,1.936795,16,0
Minor_Arcana/Cups/06_Six_of_Cups.png,219,443,0.494357,440,858,1.936795,16,0
Minor_Arcana/Cups/07_Seven_of_Cups.png,223,443,0.503386,440,858,1.936795,8,0
Minor_Arcana/Cups/08_Eight_of_Cups.png,222,430,0.516279,440,858,1.981982,0,6
Minor_Arcana/Cups/09_Nine_of_Cups.png,220,430,0.511628,440,858,1.995349,1,0
